35.226.23.240 - - [31/Jan/2018:00:01:17 +0100] "GET /robots.txt HTTP/1.1" 200 80
212.187.87.113 - - [31/Jan/2018:00:44:20 +0100] "GET / HTTP/1.1" 200 35804
212.187.87.113 - - [31/Jan/2018:00:44:21 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
212.187.87.113 - - [31/Jan/2018:00:44:21 +0100] "GET /davosersee.shtml HTTP/1.1" 200 19505
212.187.87.113 - - [31/Jan/2018:00:44:21 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
212.187.87.113 - - [31/Jan/2018:00:44:22 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
212.187.87.113 - - [31/Jan/2018:00:44:22 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
212.187.87.113 - - [31/Jan/2018:00:44:23 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
212.187.87.113 - - [31/Jan/2018:00:44:23 +0100] "GET /events.shtml HTTP/1.1" 200 22514
212.187.87.113 - - [31/Jan/2018:00:44:24 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
212.187.87.113 - - [31/Jan/2018:00:44:24 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
212.187.87.113 - - [31/Jan/2018:00:44:25 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
212.187.87.113 - - [31/Jan/2018:00:44:25 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
212.187.87.113 - - [31/Jan/2018:00:44:26 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
212.187.87.113 - - [31/Jan/2018:00:44:27 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
212.187.87.113 - - [31/Jan/2018:00:44:27 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
212.187.87.113 - - [31/Jan/2018:00:44:27 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
212.187.87.113 - - [31/Jan/2018:00:44:28 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
212.187.87.113 - - [31/Jan/2018:00:44:28 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
212.187.87.113 - - [31/Jan/2018:00:44:28 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
212.187.87.113 - - [31/Jan/2018:00:44:28 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
212.187.87.113 - - [31/Jan/2018:00:44:29 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
212.187.87.113 - - [31/Jan/2018:00:44:29 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
212.187.87.113 - - [31/Jan/2018:00:44:30 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
212.187.87.113 - - [31/Jan/2018:00:44:30 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
212.187.87.113 - - [31/Jan/2018:00:44:32 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
212.187.87.113 - - [31/Jan/2018:00:44:32 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
212.187.87.113 - - [31/Jan/2018:00:44:32 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
212.187.87.113 - - [31/Jan/2018:00:44:33 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
93.160.60.22 - - [31/Jan/2018:00:45:18 +0100] "GET / HTTP/1.1" 200 6440
