35.226.23.240 - - [19/May/2018:18:07:28 +0200] "GET /robots.txt HTTP/1.1" 200 80
216.244.66.229 - - [19/May/2018:18:34:20 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /davosersee HTTP/1.1" 200 5475
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 200 23051
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 157
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
178.197.228.101 - - [19/May/2018:18:36:22 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 3186
178.197.228.101 - - [19/May/2018:18:36:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
178.197.228.101 - - [19/May/2018:18:36:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
178.197.228.101 - - [19/May/2018:18:36:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
